Age,Sex,Height_cm,Weight_kg,Wrist_cm,Waist_cm,Hip_cm,Neck_cm,UpperArm_cm,Thigh_cm,Calf_cm,Forearm_cm,Chest_cm,Shoulder_cm,Ankle_cm,Bicep_cm,BodyFatPct,MuscleMass_kg
60,M,173.3,136.3,19.0,150,147,47,41.8,80.0,48,28,118,46,26,51,39.8,55.2
73,M,164,65.2,,35.4,84.3,38,10.6,61,,30,105.0,42,19,33.2,25.0,
31,female,161,72,17,84,125,32,,21.2,38,27,85.0,35.0,200.0,28,49.3,33.2
58,M,176,103,19,114,44.1,37.1,46,69.7,35.0,29.9,114,40.0,25.0,34,40.9,48.9
58,M,176,103,19.6,113.1,44.1,37.1,46,69.7,35.0,29.9,114,40.0,25.0,34,40.9,49.1
37,MALE,188,102,7.4,102.8,105.4,43,38.9,55.0,32.2,31,105,24.0,24,35,24.4,48.7
22,male,170.8,66,18,108,78,45,24,52.1,,26.6,,41.8,23.3,40.0,31,29.2
62,f,148,76,15.0,102,112,36,37.3,72,43,29,101.2,37.6,20,40.0,33,37.5
38,female,160,95.3,14.7,60.0,114.6,32.1,56,53,35,25,108,36,21.7,46.0,50.0,35.6
55,female,162,123.2,16,135.0,153.0,43,45.0,74,39.7,27,112,41.4,22.7,30.0,53,57.4
23,Male,180.4,135.0,18.5,133,107,42,40,,38.1,27.4,124,41,23.8,46,48.1,
55,M,171.2,81.2,20.0,117.0,119,35.8,30.0,70,44.9,30,95.0,,24.3,,31,
50,Female,163,113,16.9,143,151,39,47,74,48.6,22,93,43,21.1,32.6,56.9,
20,FEMALE,163,69,16,107,113,27.1,35,56,40.0,27.6,89.1,37,22.3,33,44,29.4
59,Male,160.0,92,19.4,1007.0,120,38,33.3,65.5,38.0,29.5,110.0,45.0,26,30.0,24,31.5
63,female,165.5,78.5,16,92,118.6,35,40.8,55.0,38.9,25,69.0,339.0,24,25.0,39,33.0
20,Female,169,102.8,15.0,103.0,135,34,42,65,35.0,31.9,109,38.4,18,40,35,59.3
62,m,175,111,18,113,105,45,50.3,66,45.0,32,,45.0,20.9,40.0,30,
66,MALE,185,105,19.8,105.0,99,40,43.0,51,33.7,32,68.0,45.0,23,35.7,32,31.4
65.5,MALE,185,105,19.8,105.0,99,40,43.0,51,35.5,32,66.7,45.0,23,35.7,32,31.4
26,FEMALE,172.0,56.5,15,,111.0,30,20,50,33,26,,45.0,20.0,35,37,17.8
18,M,177.0,82,19.2,95.0,122.1,39,25.0,56,33.4,31,105.0,40.0,22,35.4,25.0,36.4
29,f,166,53,13,100,91,,23,41.4,31.8,26.5,110,41,19,30,35.0,23.3
26,FEMALE,165,65,17.0,60,84.5,34,29,65.0,40.0,25,104,36,20.0,30,28,
63,Male,168,98,19.2,109,115,42,36.6,56,43,31.9,104,45,21.5,41,,44.8
43,Female,165.0,108,15,94,119.3,35.0,43,66,50,38,100,42.2,20.0,38.2,51.7,49.3
28,female,160.0,78.1,15.0,92,125.0,14.6,25,65.2,37,22.5,117,37,20.0,33,29,37.6
21,FEMALE,158.7,57,17,73.7,,31,43,60,41,21.9,90,39.2,20.0,32,37,
52,F,166,124.9,16.5,142,121,40.1,46,69,38,32,130.0,38,21,27.9,60,52.9
52,f,161,59,16.1,112,,35.0,38,48,41,21,80.0,40.0,21,33,18.5,23.3
57,MALE,165.0,104,17,157,118.5,40.0,50.0,56.1,50.0,29,85.8,40,23,34.7,43.2,
33,MALE,175.0,88,17,104.2,116,41,42.7,73,,29,104,46,22.7,36,42.0,30.7
29,MALE,168.9,104,16.7,,121.9,42.7,38,65.0,40,33,100.0,,28,37,44.3,
39,F,159,75.0,14,96.8,115,35,36,57.0,36.0,28,106,39.4,22,24,45,28.1
38,FEMALE,158,80.0,17,79,120.0,33.9,36,68.5,41,25.0,110.5,36,,34.7,35.0,30.1
33,female,165.0,74.0,15,89.2,119.4,38.4,27.5,48.5,40.5,27.0,88.1,35.0,23,36.7,29.9,24.7
57,f,1168.0,79,15.2,111,174.0,36.5,,57.4,31.3,19,83.9,40.9,21,,41.0,
32,f,163,64,16,99,,34.4,29,50.6,41,24.9,82,42,20.8,42,24,28.4
69,F,165.0,70.0,15.0,95,108,35.0,20,50,35.1,25,82.1,35.0,23,34,445.0,26.5
67,M,174,80.0,16,128,39.0,38,39.0,60.0,38,26.4,86.7,43.8,25,39,33.1,33.9
28,male,181,96,16.5,98,120.0,41.6,34,67,40,31.1,109.6,43,25,37,34.7,36.1
56,MALE,178.1,130.0,20.0,113,129,43,40.0,72.6,50.0,30,123.1,43,21.3,41.8,38,59.0
66,m,166,90,18,129,116.2,,34.8,62,40.0,30.0,110.0,46,23.8,,34.0,39.8
19,F,159.5,65,16,88,81,34,28,21.2,40,26.6,33.5,34,,28,38,33.5
24,male,178.9,103,19,98.0,102.3,40.0,37,25.6,39,32.9,104,44,27,,22.3,
44,Male,172,87,20.0,125.0,130.4,40.0,35.1,51,38.9,29.6,97.5,45.5,,32.4,28.2,30.5
72,F,154,62,16,37.8,129.5,34,31,62,40,27.4,111,35.0,20.0,30.5,21,22.6
40,m,178,95,17,115.2,,38.6,40,,40.0,30.0,92.7,43.1,27.0,41,28,40.2
48,male,180.1,124,19,,119,44,39,65.0,,31,116.8,,24.5,35,32,54.2
44,F,165.0,108,7.0,140.0,121,36,35,73,,25,104,45.0,32.8,38,54,40.7
37,f,154,70.0,16.0,83,110.0,34.2,33.7,66.6,40.0,25.0,113,41.9,20.0,33,44,31.8
74,female,165.0,65,16,93,85,20.0,25.0,58,36,,91,36,20.9,35.8,45.0,27.0
51,male,178.7,102.1,20.0,118,106,37,32,58,40.0,29,114,43.3,26,35.4,27,38.0
56,F,170.0,71,14.1,33.1,87.9,34,36,44,28.1,26,100.0,41.2,19,36,50.0,28.5
22,female,160,89,17,97,1188.0,32,36,57.0,41.6,28,102.5,35.1,23.9,38,50.0,42.2
49,Male,158,115.0,18,110.6,123,46,39.2,71.3,40.0,34,118,42.0,23,45,30.3,42.4
40,FEMALE,170,94,17.6,87.6,122,37,35.0,65,40,11.8,107,38,21.2,36.8,42.8,40.2
35,M,173,71.8,18,109,94,35.0,26,59.0,41,29.2,100.9,43.2,24.0,36.4,33,
62,m,168.9,70.0,17,103,118,38.6,26,65.0,35,31,108,46.3,23.0,37,21.4,27.8
35,MALE,175.1,100.2,16.7,126,89,40.0,31,55.0,37.2,30.0,134,43,23,44,25.0,47.6
49,Male,170.5,65.3,17,101.9,87,34,31.4,50.0,36.6,29,95,39,25,31,17,23.2
49,Male,169.7,65.3,17,101.9,87,34,31.4,50.0,36.6,30.4,95,39,25,31,15.4,23.2
63,f,163,145.5,15,98,130.0,27,25.0,60.0,31.9,25.0,70.0,30.0,24,25.0,37.6,27.0
26,male,168,45.4,18,79.3,107,37,26.4,45,31.4,28.5,94,40.0,,23,35,
67,Male,183,114,19,130.3,95,40,35.5,52,39.5,31.9,113.8,46,25,41.6,32.6,48.0
32,Male,180,96.1,18,80,107,,35.0,59.6,,28,107.2,49,23,37,32,38.1
23,m,183,107,16,89,106,47.6,32.7,80.0,45,30.0,85.0,47,26,30.0,35.0,33.3
63,f,153,83.5,16.3,134,,37,46.9,55.0,40.0,27,98.7,39.5,22,25.0,54,29.8
73,female,163.8,54.0,15.0,85.0,105.0,29.2,31,50.0,33,20,96,36,18,20.0,30,27.7
63,Female,174,117.3,16,131.1,105.0,35.0,45.9,55.0,15.7,28.6,114.8,41,22,35.1,39.9,46.2
27,Female,173.7,85.6,15.0,120.0,98,32.8,23,64,35.4,28,100.8,40.0,22,34.4,41,36.9
73,M,172.1,125.0,18,140,127,40.5,33,65.0,40.0,30.0,120.0,45,19.5,44,48,47.2
63,Female,169.7,86,16.6,97,210.0,33,25,79,37.7,24,70.5,40,23,33,48.3,39.7
62,F,163,95.6,17,111,107,13.5,42.0,76,37,28,84.5,38,25,35,41,
48,m,70.4,103,118.0,120,112.4,40.0,30.0,26.8,,22.3,117.9,33,22,39,22,
36,male,173.2,113.9,18,132,145.0,45.7,38,65.0,50.2,25.3,109,,23,35,42,50.5
32,F,150,62,15.0,90,113.4,31,42.3,57.9,38,24.9,81.5,,22.6,29.8,35.0,
43,F,155,130.0,17.9,130.6,140,35,35,77.3,41.4,29,114,44.6,25.0,40.1,56.8,56.0
27,MALE,168,77.8,18.4,75,107,45,30.0,68.9,34.0,27.9,114,45.0,27,38.4,22,33.9
43,female,160.0,104,16.8,135.0,156,38,30.0,770.0,34,27.7,43.3,39,21,42,49,32.4
21,MALE,185,64.7,16,92,,39,28.2,50.0,355.0,29.6,107,40.0,25,41,12,27.0
62,f,159,81,17,111.7,144,34,39,63,40.0,28,90.0,34,22,25,,
67,M,186.7,245.6,18.6,158,164,47,56,84,55.0,35.0,131,40.0,30,47,60,74.8
71,f,166.1,72.7,15,,110.0,27,40,59,32.8,28.3,93,32.5,24.1,35,46,30.4
34,male,165,74.6,20,126,99,39.6,38.6,55.0,43.1,12.6,107,44,20.0,40.0,45.0,
65,Male,196.0,65.7,19,90.0,107,35.8,29.2,,40.0,29,108,43,24,32.0,26.1,30.3
34,M,175.0,235.3,15.0,92,113,37.9,37,51.6,37,35.0,103.8,45,23,40.0,37,43.8
24,M,183.4,93,20,97,110.6,41,30,53,40,31,95,44,,30,36,
27,Male,191,81.0,17.6,104,95,35.9,29,44.6,35,30.0,,45,25,34,26.5,34.5
45,male,186,124,15.0,114,111,42,42.7,68,40,29.4,120,38.2,22,42,30,
21,Female,177,77,16,71,127,30,25,66,35,23,79,40.0,18,40.0,44.5,28.6
54,M,171,79.3,18,121,108,39,35,58,32,32.9,96,44,23,38.7,26,
21,female,145,39.2,15,94,103,30.2,23,70,35,26,106,38,22,33.9,477.0,
68,female,166,90,15,102,130,38,32,25.2,37.8,25.8,118,40,20,30.2,35,32.3
25,MALE,178,70.0,18,90.7,100,45.0,25.0,51,38.8,27,112,45.0,25.4,34,21,24.7
30,F,163,80.0,16,95,122,31,30,65,37.0,23,73,38,7.9,26.3,35.0,
35,M,183.3,80.0,18,107,108,,30,49,42.3,31,107,48,19,40,9,30.3
41,male,186,145.7,19,109,133,44,16.1,61.9,35.0,27.2,126,43,25,40,46,41.6
72,Female,156.8,63.4,15.0,113.4,110.0,35.0,30.0,61,41.7,24,100.0,35,20.0,26,34,19.8
48,Female,158.9,61,17,,129.5,35,43.4,50.0,40.2,20.0,103,38,21.8,33.4,23,
31,Female,180,93,16.2,75.0,13.0,38.1,30.0,,41.9,26,98,45.0,22,32,37.2,42.3
49,FEMALE,157,94,16,108,130.6,32,55.1,65.0,32,29,118,43.1,22.8,30.0,55.0,42.4
67,Male,154.1,80.0,20.0,122.0,126.0,40,38,68.9,37.8,33,85.0,43,26,35.0,39,31.3
18,FEMALE,175.0,37.4,16.9,68.2,,28.9,27,39,35.0,244.0,88,36,20,,28.6,
23,F,173.0,65.0,16,85.0,115,33,20,54,32.2,23,89.7,39.3,20.7,32.7,19,23.3
22.6,F,173.0,65.0,16.9,85.0,115,34.9,20,54,32.2,23,89.7,39.3,20.7,32.7,19,23.3
61,m,,48.5,16,,98,40,30,55.0,40.0,29.5,99,42,24,35.4,28,23.2
24,F,155,36,16,,75,30,,51.9,42,24.3,80,40.0,21.7,25.4,45,
45,m,175.0,102,21,93,130.0,44,31,75.1,40.0,31,105.1,46,25,37,33,
38,Male,70.1,95,15.0,128,111.2,42,47,56,36,30.0,138.5,46,27,37.4,26,50.5
66,m,181,118.0,19.2,91,143,41,36.2,55.0,36,29,111,45,25,36.4,35.0,53.4
50,Male,173,106,,131,119,40,33,57,37,11.8,116,45.0,22.2,36,35.0,41.3
69,MALE,176.6,114.1,17.2,125,114.5,39,39,70.0,41,32,113.7,50.0,25,40,32.5,42.3
45,F,162,75,15,104,111,30,35.0,,33,16.9,107.3,35,22.2,28.5,25.0,34.1
33,M,174,115.0,17,124.4,120.0,40.0,30.0,85.0,41.5,33,117,45.0,24.4,40.4,50.0,43.6
68,Male,184,102.4,19,125.0,98,38.0,33.2,58,40.0,30.1,116,50.1,23,29,28,46.3
48,Male,169,130.0,20,134,125.0,45,44.3,72.8,36,32,,47,25.0,44.0,45.0,52.9
52,female,155.9,55,16,111.1,118.5,30.0,40,55.0,29,29,85.5,41.1,18,38,35,18.5
43,Male,173.8,73.3,18,138,105,46,30.3,51,37.1,32.1,105.2,51,,36,31.6,27.1
22,MALE,171,95.0,15,104.7,112.4,36,32,,36.1,,120.0,44.7,21.1,17.3,37,
33,MALE,180.9,75.0,17,109,110.6,38,34,65.0,37,30.0,87,47.8,25,,29,31.4
64,male,170,85,18.6,94,120,37.9,35.0,63.8,35,30.0,85.2,43,22.7,35,40.0,30.2
65,male,176,102,18.6,130.5,114,37,35.0,48,43,28.2,91,44.6,22,35.0,26,44.7
31,Male,178,60.0,15.0,63,95.0,35.6,24.3,55,32,35.0,80.5,45,22.8,30.0,20.0,31.0
18,FEMALE,151.7,35,17,60,109,,20,64,31,25.0,89.9,40,21.2,22,19,
18,f,163,35,15,31.1,98.7,32,20.0,45,30,22.3,100,41,21,22,20,
34,FEMALE,170.0,90.0,16,96,100.0,30.0,22,75,38.7,24.4,99,39,23,35.7,,42.0
20,Female,161,86,61.0,95,118,34,33.4,64.4,34.8,27,95.0,40,21,30.0,45.0,32.4
35,M,185,107,17,95.0,112.1,37,32,59,47,33,89,49.3,24.0,39,50,55.4
20,MALE,176,101,20.0,84,125,49,33,65.2,43,30,120.0,44.5,25.0,36,31,
53,M,179.7,90.0,18,98.2,100.0,42,31.7,50.0,30.0,33,111.6,45.0,24.3,42,33.4,34.0
25,Male,177.7,63,20,84,87,34,28.8,56.2,35.0,30.0,98.3,45.0,26.8,39,28.7,
45,M,181,125,18.2,119,130,39,40.0,52,42.4,29.8,103.0,51,23,32,37.7,73.4
28,male,176.9,85,16,86,,36.0,34,57,35.0,28,111,47,20.0,37.4,25,34.9
59,MALE,176.8,82.7,18,105,104.2,39,25,63,41,28,100.0,41,24.8,40.0,24,42.8
67,male,172,96.4,19,117,112,35,29,59,52.4,30.0,120.0,40.4,26.0,40.0,27,49.6
41,M,165.5,74,17.0,111,104,42,34,60.0,42,24,115.0,40.0,28.2,33.7,20.0,34.1
62,FEMALE,165,118,17,106.1,,39.3,36.8,78,36.2,25,105.0,35.0,23,40.0,57,55.8
53,male,185.0,85.0,16.8,111,104,35.0,33.8,66,40,23.5,115.0,,21,30.0,33,28.8
37,FEMALE,165.0,86.1,14.4,112,120,33,34.1,63.1,32,23,110.0,43.5,22,32,48.3,41.1
45,M,169,88.0,18,118.3,106.9,42,40.0,70,33,30.7,116,50,26.4,33,30,38.5
40,MALE,164.8,69,18.4,107,120,38.4,35.0,48,40.0,29,105.0,56,23,32,23,28.8
71,FEMALE,163.0,65.0,14,107,,34,35.4,57,,27.7,77.9,40.0,20.0,30,27,
67,male,172,75,18,105.0,116,40.0,30.0,57,39,27,120.0,43,,33,35.0,33.5
55,Male,182.7,140,18.4,119,48.4,41.0,43,60.0,38,30.0,89,51,22,45,36,66.6
26,m,192,121,18,111,125,41.7,35.0,57,43,30.0,114,45.7,25,34,33,
51,male,168.0,94,188.0,106,120,40,38,50,42,30.0,85,40.0,22.7,42.6,48,35.0
19,FEMALE,161.9,60.0,15,81.5,,35.0,28.2,59,41,25,80.7,36,18,31,24.2,26.4
65,F,157.5,103,,113,124.3,40.0,47,70.0,40,23,115,35,22,33,52,
50,Male,170.3,67,20,87,104,37,32,59,40.0,25.0,110,48.7,24,34,25.0,31.5
20,MALE,186,73,20.0,90.0,100.7,37,37,47.3,40.0,28,110.0,,23,40.0,7,29.8
49,M,175.0,113.6,20.0,120,119,37.6,400.0,72,43.9,30.0,100,,24.2,43,35,42.1
58,Female,159.3,104.2,16,125,,37,52.5,73.4,44.7,30,99,37,24.4,,57.3,56.4
65,FEMALE,164,70.9,17,98.4,131.2,40,35,46,37,52.0,108,39,24.2,27.5,40,25.9
71,Male,174,83.8,18,108,109.8,38,35,64.6,43.3,,102,39,,37,31.0,27.4
48,female,155.0,66.9,16,102.4,101.4,38.9,36,58,,23,97.0,38,21,29.2,41,24.2
44,Female,170,67,15.0,114,105.0,30,37,70.4,37,26,101.0,39,20.0,25.3,38.5,27.1
71,FEMALE,146.6,67.9,15.4,110.0,93,,44,60.0,39,25,106,38,20.0,32.7,31.7,25.8
23,Male,165,90.0,18,82.6,,37.8,39,57.2,49,34.0,111.8,43.0,24,337.0,46,33.0
43,Male,176,99,8,109.3,113.3,41.5,35,52,39.0,27.8,99,50.0,24,37,38,43.9
48,f,65.7,109,41.0,142,130,38.3,37,65,46,26,99,36.5,23,35,49,49.9
41,M,180,62.4,19,88.8,96,35.0,30.0,49,30.6,32,119.0,41,24,30.0,6,24.9
29,M,176,95.0,16.2,131,112.0,41,35,61.7,40.0,30,90,46,20.0,39,19.9,46.4
21,F,159.6,110.0,6.2,99,122,37.0,38,48,39,25,113.6,37.7,23.1,35.6,54,
33,f,173,78,16,105.0,89.0,,32.9,55,38,24,94,39,23.5,42,,
72,MALE,68.2,62,18,88,9.0,38.1,30,59,37,31.6,100,38,21.3,35,10.0,22.9
49,M,168,130.0,18.6,140.4,125.0,44,42.6,62,51,36.2,125,44,25.5,44,43,43.3
22,female,156,112.5,15.0,,98.3,34,30,58.6,37,26,80.0,39,,22,20,23.4
67,female,156.1,93,15,92,130.1,35.0,40,66.6,42.4,30,89,37,23,34,45,44.4
47,m,185.5,121,16,111.7,127.7,41,444.0,60.0,43,31,121.7,45,27,37.2,41,40.8
58,M,173,57,15,91,116.7,34.8,29,61.0,41,29,87.6,55.0,24,29,33,
49,female,164.3,82,17,100.0,98.8,33.1,37,52.7,35.3,24.4,115.0,41,23,40,51,33.0
63,female,146,36.0,15.0,83,91,28.2,24,50.0,34,23.6,88,35,21,31,,14.6
29,MALE,185,100,17.6,110.0,134,34.8,,60,38,30.0,115.0,47,22,30.0,28.1,45.7
55,f,169.6,105.0,18.0,100.0,,33,55.0,67.9,41,25.0,120.0,38,19,13.9,49.1,55.0
33,F,164,70.0,15.0,95.0,113,36,38,49,35,25.8,101,44.1,22,34,33,27.6
52,M,174,105.0,20.0,115,120.0,38.9,,65,36,30,108.4,48,26,40.0,30,50.3
65,MALE,180,102.3,17.9,88.4,116,42,33.4,52.3,33,27,129.3,44,23,19.7,41,41.0
25,M,185.8,59,18,85,,31,28,52,37,30.9,98,48,23,29,13,26.3
70,M,187,118,18,145,115,42,33,60,43.6,34,105.5,50.0,26,32.8,40.0,49.3
62,f,162,85.0,16,124.6,118,35,29.5,56.3,45.0,23,112.5,45.0,21.3,37,28,31.4
45,Male,176,76.8,19,100,105.9,39,35.1,53,39,34.2,100,50.8,25.0,36.9,34,31.7
54,M,176.8,83,19,45.3,112.1,39,36,63.2,35.0,29.9,104.2,52,10.6,39.1,10,32.0
61,female,170.0,75.5,15,73.9,110,32,41,54,40,,110,36.5,22,30,41.3,32.7
49,Female,166.6,71,14.7,105.2,116,34.2,24,63.2,38,26.1,95,40,23,30,23,27.9
50,MALE,163,83,,109,111,46,36,62,38.9,29,86,46,23,33.3,46,
60,Male,173,100,,124.5,105.0,42,39,60,39.0,30.0,102,41,13,37.9,35,48.3
60,m,188.6,93,17.5,89.0,117.7,32,32.1,64,46,82.0,100.0,45.0,24,32.0,25.0,
30,M,186.0,95,18,97,104.7,38.0,27,55.0,30.0,27,101,40.0,22,38,33,30.3
63,f,160.0,77.0,18,119,109.1,31,45.0,73,42,27,101,34,23,33.6,,36.8
52,FEMALE,156.0,78,15,73,125.0,35,30.0,84,40.0,24,111.1,37.0,21,27,38,25.2
71,Female,150,80,16.6,93,124.9,34.2,73.0,55.0,32,29.2,100.8,38,23,28.1,58.7,45.5
50,male,175.0,73.4,19,125.0,88.2,37,299.0,57.5,,28,105.5,44.1,19,30.0,26.4,29.7
60,M,171.3,65.0,19.2,107.3,100.0,37,26,55.6,37,30,117,48,23.6,33.2,21.4,23.1
64,F,168,88,16.6,113,131,32,30,,36.8,24,86.6,36,17.8,23,41.4,
45,female,164.3,99,15.0,106,131,33,40.0,26.8,40,25,121,41,20.0,29,42,44.4
49,f,148.9,64,16,105,113,35,31,71,32,24,85.3,38,22,31.7,,26.2
58,M,185,90.0,18.4,93,89,38,31.9,66,40,28,101,44,26,34.2,19.1,30.7
64,female,,115,14.8,105,122,42.3,51,64,45.0,26,142.9,36,22,37,55.6,
70,FEMALE,160.8,99.2,15.0,,85,38,36,70,45,23.7,94,42,25.0,37,43,47.6
38,female,158,103.4,17.5,123,125.0,36,46,62,40.4,31,138,422.0,21,49,54,42.4
32,FEMALE,170.0,100.0,16,75.2,121.1,32.1,14.1,64.7,35.0,26,106,30.0,23.3,32.4,46.8,
57,m,69.4,118,15.0,124,122,44,50.0,55,42,33,120.7,48.5,25,45.0,45.0,
64,female,168,49.7,15.7,70.0,124,35.0,38,46,35,25.0,83.5,39,21,34,33.0,22.8
37,MALE,174.7,72,18,86,,40,30.7,51.9,34.0,,92,40.0,25.0,39,,31.8
28,Male,177,64,16,88.4,100,38.0,31.1,56,35.6,30.0,91,39.3,23.7,35.0,25,28.7
64,M,170.0,68.1,20.0,85.0,120,38,32,,43,30.0,102,45,25.0,40.3,20,27.9
58,Female,164,90.0,17.6,136.3,121.1,35.8,38,70,40.0,28,,38,20.0,28.1,50,35.8
32,FEMALE,164,,16.4,92,86.8,31,24,56,37.0,24,90,35,21,22,35.8,14.6
71,FEMALE,169,80,17,105,117,35.0,34,60.0,39.3,27.2,68,36,20,32,45.0,
30,FEMALE,162.3,93.2,18,,117,36,40,67,40.0,28,104,39,25.0,24,,37.3
25,FEMALE,158.2,105.0,17,10.0,140.0,35.0,46.7,58.0,38.7,27,128,40.0,20.0,40,51,45.9
36,Female,157.9,81,17,100.0,124,35.0,46,68.7,,24,108,38.3,20.1,39.1,47.8,28.9
20,FEMALE,157,67.6,16.2,105.2,106.0,36,31,,39.0,27.3,82,41.5,21,28,35,29.2
74,male,173,109,17,104,141,40,35,55,32,27,105.0,,23,35,18.3,
22,female,151,55,15.0,80.0,95.0,36.4,27.8,50,43,26,98,39.2,22.8,30.0,41,23.6
44,M,165.0,63.0,17.3,93,,40,30,44,399.0,31,90.0,44,20,44.6,24,23.6
69,M,184,69.5,18,39.0,105,35,35.6,66,433.0,25.6,68,44,21,34,17,30.8
51,F,160.9,110.0,15,115.0,138.4,36,38,75.2,40.5,26.6,109,36,22,35,50,46.1
45,Female,152,89.0,14,132,119,36.3,17.3,73,41.6,31,160.0,37.4,20,34.6,50.0,33.5
46,Female,161,75.3,15,109.0,127.4,34,48,61,37,25.0,106,41,23,311.0,36,33.4
63,Female,159,69,15.6,105,135.8,34,40,68,31.3,22,98,44,255.0,25.0,45,26.5
39,MALE,178,110.0,18,124.6,102.8,40.0,37.2,54,43.2,32.5,89.0,46.3,25,36.0,4.1,56.8
22,F,160.1,45.0,15.0,80.0,117.5,33,31,47,38.4,21,81.8,37.5,18,35,35.0,23.8
44,m,180,86.5,18.4,113,111,33,34,40,35.0,31,120,,25.5,28,27,42.9
62,FEMALE,173,126,17,134,138,40.0,51,66,44.7,30,,37,22.9,32,,47.2
19,male,169.2,83,20.0,103.5,114,40,37,57,41.4,31,100.0,49,27.9,37,17,
69,M,164,86,19.9,125,105.0,35.9,31.7,69.5,34,34.6,121,,23,40.0,25,
18,MALE,177.9,88.8,19.8,82,112.4,39,38,51.4,45,26,1125.0,40.0,21.1,30.0,36,
26,F,165.0,94,16,90.0,120.8,35.0,32,43,45,22.5,106,41,33.6,34,45.0,48.5
64,male,165.0,209.0,20,175,150,52,22.8,87,51,35.0,135.0,45.3,28,50,60,82.1
30,male,174.6,103,18,110.0,131.2,47,35.0,76.6,40.0,25.0,97.5,47,24,41,29.2,40.3
59,m,178,72,18,80.3,92,38.1,29,60.0,38,30,110,,25.0,34,32,32.8
55,Male,171.7,206.7,19,175,161.5,46.3,58,73,43,30.0,109.1,44,26,42,,83.7
34,female,160,677.0,16,108,105.0,31,37,57,37.4,23,101.8,45.0,19,27.0,37,23.5
48,female,178,117,17,111,114,40.5,45.0,60,36,24,117.2,42,25.0,40,49,43.7
36,f,165,93,16.4,116.3,110.0,35,32,63,40.2,22.7,96,,21.9,25.0,40,
59,male,174.3,91,18,95,120,38.8,35,22.2,,30.0,135,37,24.8,33.0,31,33.9
67,Female,155.0,102.2,16.7,112,142,37,38,69.3,41.3,31,113.7,40.0,25,42,49,45.3
20,F,162.0,59,15.0,98,135,28.7,21,44.6,39,25.0,996.0,38,21,23.2,31.1,26.2
20,M,176.8,67,18,75.0,99,36,26.7,58,42,25,85.0,40.4,24,36.8,12.0,31.3
19,female,165,92.3,17,97.7,95,35,30,63.8,43,28.3,92,39,21,,39,
35,M,179.0,116,20.0,99,127,39,40,58,35.0,32,116,40.0,,43,41,
47,m,173.7,100.7,15.0,100.0,117,39,,66.1,38,33,128,46,24.9,41,35,
69,FEMALE,160,35,14,92,91,29.7,28,49,30,25.0,,37,25.0,34,18,
40,f,167,96,14.5,129,128,36.4,49,70.0,36,24,109,39,25.0,30,44,43.3
38,FEMALE,172,82,16,67,,32.8,36,58,40.0,30.0,96,333.0,20.0,37,45,33.1
30,f,175.0,122,16.9,122,108.1,36.0,40,75,40,25,100.0,42,25.0,41.5,39.6,50.9
26,F,157.5,94,17,106,135.0,39.1,37,67.4,44.5,27,111,40.0,20.0,37,55,24.5
21,female,156.1,48,16,79.4,94.6,29.5,31.3,68,38,24,100,39,20,35.0,41,19.1
21,female,157,55.0,15.9,92,95,32,30.0,58,35.0,28,90,39,23,26.6,35.0,16.9
29,F,175.0,220.5,15.0,110.0,115.5,34,31.2,56,39.1,26,95.0,38,22,30,39,46.8
32,female,,107.7,,,,32.5,50.0,81,40.0,16,173,37.5,23,32,49,42.9
32,female,,107.7,,,,32.5,50.0,81,38.0,14.7,173,37.5,23,32,49,44.2
46,m,170.0,91,19,100,110.0,40.0,33.7,58.8,35,31.0,110.0,46,25.9,116.0,39.1,37.7
22,FEMALE,165.0,44,15.0,87,90.0,31,20,53,37,24,96,30,20.0,25,,14.1
41,female,153,68,16.1,72.0,118.0,36.1,32,75,35,28,89,38.8,21,37,,24.2
71,Female,161,60,17,85.0,112,29.9,30,53.3,31,22.2,100.0,41,20,28.6,43.7,26.7
64,FEMALE,162.3,94.2,16,113.7,,39,42.3,55.0,42,24.9,90.0,43,22,38,41.6,36.7
18,m,202,120.0,18,111,91,38,30.1,61,38,30.0,126,16.9,25.0,32.2,20,41.8
26,M,170.3,80.5,15.0,95,85.0,,35.0,50,33.8,30.1,102,45,20.0,38,27.6,40.8
58,m,176.3,101,,99.7,106.6,42,34,66.1,38,28,105.0,,26,16.1,24,41.5
45,FEMALE,158,89.5,16,113.9,115.0,33.7,45.0,70,43.0,28,120.0,17.3,23.4,44,40,
37,MALE,167,102,18,106,109.1,45.0,15.7,64,38,31.1,97,48,23.2,43.9,45.0,46.3
25,FEMALE,170.0,102,15.6,83.6,89.8,38.5,32,65,32.5,28,109.4,34.9,26,42,46,36.7
23,f,165.0,56.7,16,,96.7,35,27,58,,24,90.0,,19.9,35,24,23.5
33,f,67.7,72,15,100,101,33.4,20,50.0,37,24.9,70.0,39,20.0,30.0,35.0,27.1
58,Female,160.0,62.8,15,125,102.6,28.6,28,67.3,42.4,25.0,98,37,21,33,23,29.3
40,m,177,77.3,18.5,124,116,39,38,60,37,26.0,97.4,40,,42,42,34.7
60,m,175.9,55,19,80.0,98.4,37,26.0,42,40.0,28,77,46,8.7,40,15,20.4
60,F,163,87,18,96,91.3,32,36.9,55,40.0,24,922.0,45.0,20.0,27,45.0,
30,male,155.8,87,19.4,122,114,41,34.3,75.3,38,,,43,22,36,30.0,31.8
