Age,Gender,Weight(Kg),Height(cm),Muscle(%),Body Fat(%),Daily Average Calorie Intake,Daily Average Protein Intake(g),Daily Average Fat Intake(g),Daily Average Carb Intake(g),Daily Average Sugar Intake(g),Exercise per week,Waist circumference (cm),Hip circumference (cm)
18,0,47,156,71,16,-193,56,-5,-93,-14,0,19,29
25,0,56,158,71,14,-290,84,-8,-138,-25,3,23,31
24,1,65,183,77,13,2014,78,56,300,53,0,25,26
27,0,61,156,64,20,-258,85,-7,-134,-24,2,29,24
54,1,78,173,78,5,2554,109,71,370,69,2,35,22
26,0,43,160,62,23,-258,60,-7,-109,-21,2,11,16
25,0,77,172,71,14,-225,100,-6,-143,-25,1,35,39
29,1,67,182,83,6,2668,94,74,406,83,2,26,40
28,0,61,174,69,15,-290,92,-8,-146,-29,3,34,30
46,0,67,159,49,30,-225,87,-6,-130,-20,1,22,40
27,1,57,170,79,11,2704,86,75,421,89,3,18,29
23,0,55,164,72,14,-354,94,-10,-160,-27,5,24,21
41,0,50,153,48,33,-419,95,-12,-173,-43,7,19,27
25,0,77,174,56,29,-225,100,-6,-143,-35,1,20,40
28,1,68,169,73,16,1922,82,53,279,55,0,28,33
21,1,63,164,84,7,2177,82,60,327,63,1,34,21
54,0,49,160,39,39,-290,74,-8,-128,-25,3,19,21
58,0,59,168,53,21,-386,106,-11,-178,-27,6,22,21
30,1,76,175,77,12,2734,106,76,406,85,2,28,35
57,1,71,166,70,13,2348,99,65,342,70,2,32,26
21,0,65,163,67,19,-225,84,-6,-127,-32,1,15,37
32,0,69,173,54,29,-258,97,-7,-146,-22,2,21,6
19,0,69,168,62,25,-419,131,-12,-209,-42,7,35,29
22,0,68,166,68,18,-290,102,-8,-156,-31,3,25,29
28,1,47,163,82,7,1624,56,45,249,55,0,19,24
20,0,50,159,72,15,-354,85,-10,-151,-31,5,24,8
47,0,61,164,53,25,-290,92,-8,-146,-40,3,30,40
59,1,64,172,66,17,1995,83,55,292,64,1,25,33
45,1,73,180,70,15,2616,102,73,388,68,2,36,34
63,0,67,180,47,27,-193,80,-5,-117,-16,0,20,23
19,1,52,167,79,12,2948,83,82,470,98,4,19,16
45,0,47,164,42,38,-322,75,-9,-135,-38,4,21,26
26,0,54,162,60,25,-193,65,-5,-102,-18,0,24,23
58,0,62,149,48,27,-258,87,-7,-136,-28,2,18,33
27,1,77,178,80,10,2454,100,68,360,63,1,33,22
26,0,45,149,72,13,-225,58,-6,-101,-19,1,18,27
42,0,47,162,46,35,-258,66,-7,-115,-26,2,14,34
47,1,75,176,78,6,2916,112,81,435,92,3,44,37
23,1,61,160,78,12,3000,98,83,465,98,4,23,32
51,0,60,175,55,22,-225,78,-6,-121,-20,1,29,28
25,0,60,155,53,32,-225,78,-6,-121,-22,1,28,33
75,0,54,154,46,24,-258,76,-7,-125,-29,2,22,36
49,1,57,179,63,22,3187,97,89,500,103,5,19,31
31,1,67,174,78,11,2250,87,62,336,63,1,21,40
59,0,64,167,54,20,-225,83,-6,-126,-25,1,22,37
24,1,76,190,77,13,2932,106,81,445,86,2,28,42
23,1,68,178,80,10,3028,102,84,466,88,3,24,30
27,0,52,159,75,9,-193,62,-5,-99,-18,0,24,27
23,1,43,169,70,20,1927,56,54,304,59,1,21,18
23,1,64,180,79,11,2979,96,83,462,88,3,17,31
59,0,58,160,51,23,-258,81,-7,-130,-22,2,19,27
25,0,67,163,62,23,-290,100,-8,-154,-28,3,32,26
58,1,59,184,67,16,2619,88,73,402,84,3,29,38
29,0,48,160,58,26,-322,77,-9,-137,-32,4,27,12
27,1,72,165,70,20,2270,94,63,332,67,1,29,29
61,0,50,158,44,31,-290,75,-8,-130,-27,3,23,12
48,0,83,177,60,17,-354,141,-10,-207,-41,5,37,46
30,0,45,159,58,25,-225,58,-6,-101,-13,1,12,23
59,1,56,166,69,13,1830,73,51,270,50,1,27,29
67,1,59,169,69,11,1843,77,51,269,54,1,20,29
23,0,53,170,76,10,-290,80,-8,-134,-26,3,23,25
18,1,78,176,77,15,3590,125,100,548,105,4,33,38
20,0,58,151,68,19,-258,81,-7,-130,-30,2,26,36
18,1,65,170,80,12,2604,91,72,398,79,2,30,27
25,0,64,163,69,16,-225,83,-6,-126,-31,1,27,47
26,1,76,182,69,21,4254,137,118,661,126,6,30,39
26,1,70,172,75,15,2970,105,82,453,90,3,45,29
26,0,35,162,60,25,-354,60,-10,-126,-20,5,23,14
27,1,61,168,71,19,3366,104,94,526,100,5,31,28
28,1,63,175,81,8,2860,94,79,443,84,3,23,32
64,1,60,180,65,16,2256,84,63,338,66,2,32,32
48,1,85,178,72,13,2073,102,58,286,55,0,33,36
19,0,48,170,67,20,-290,72,-8,-126,-23,3,18,36
62,0,56,175,44,31,-290,84,-8,-138,-25,3,26,25
60,0,58,162,46,29,-225,75,-6,-118,-28,1,17,32
19,1,71,172,79,12,2373,92,66,353,73,1,35,34
54,0,50,156,45,32,-290,75,-8,-130,-15,3,15,24
18,1,49,176,80,12,3010,78,84,486,95,4,7,30
59,0,53,165,39,38,-225,69,-6,-112,-31,1,22,26
26,1,71,182,81,9,4478,135,124,706,136,7,28,37
25,1,61,166,75,15,2138,79,59,323,70,1,38,31
25,1,81,187,81,9,4461,146,124,690,144,6,36,39
23,0,57,155,70,16,-322,91,-9,-151,-36,4,17,30
22,0,50,166,69,17,-322,80,-9,-140,-35,4,26,26
28,0,58,162,57,27,-354,99,-10,-165,-44,5,29,38
25,0,60,160,71,14,-225,78,-6,-121,-25,1,21,34
30,0,50,158,59,24,-225,65,-6,-108,-27,1,35,20
22,1,79,182,78,13,2916,111,81,436,86,2,33,36
18,1,60,171,77,15,2851,90,79,445,83,3,23,31
26,1,54,169,84,6,2942,86,82,465,96,4,17,26
30,1,64,176,79,10,2871,96,80,442,82,3,45,36
23,0,54,167,57,29,-290,81,-8,-136,-33,3,24,24
28,1,65,170,75,14,2840,98,79,434,92,3,27,38
21,1,55,178,79,12,1875,66,52,286,53,0,27,16
55,1,74,171,63,21,2154,96,60,308,62,1,32,42
26,1,64,179,77,13,3268,102,91,510,100,4,16,33
18,0,62,162,68,19,-290,93,-8,-148,-25,3,23,50
23,0,50,169,73,13,-258,70,-7,-119,-23,2,14,25
58,1,69,177,67,16,2116,90,59,306,59,1,39,39
57,0,44,166,39,38,-193,53,-5,-90,-19,0,11,10
52,0,53,161,46,32,-258,74,-7,-123,-22,2,19,39
64,0,71,171,52,21,-225,92,-6,-135,-30,1,18,26
21,1,72,174,80,11,2049,86,57,298,60,0,33,41
24,1,67,180,72,18,2688,94,75,409,87,2,26,37
26,0,59,160,53,32,-258,83,-7,-132,-32,2,17,32
58,1,65,173,59,25,2025,84,56,296,56,1,21,27
26,1,67,171,75,15,2582,94,72,390,71,2,22,40
18,1,62,175,83,9,2606,87,72,402,82,2,36,29
59,0,42,151,51,24,-258,59,-7,-108,-16,2,17,35
23,1,73,173,80,10,3062,110,85,464,94,3,36,46
55,0,61,165,59,16,-225,79,-6,-122,-28,1,19,46
26,0,63,173,58,27,-225,82,-6,-125,-29,1,23,25
28,0,51,165,55,29,-225,66,-6,-109,-20,1,13,15
56,0,61,179,46,30,-225,79,-6,-122,-30,1,25,31
34,1,82,173,79,9,3820,139,106,578,114,5,34,34
24,0,51,156,50,35,-290,76,-8,-130,-26,3,11,21
28,0,78,169,71,13,-225,101,-6,-144,-34,1,29,47
30,0,47,154,64,19,-322,75,-9,-135,-19,4,23,13
58,1,53,171,69,13,1839,69,51,276,53,1,35,29
48,0,43,163,48,31,-258,60,-7,-109,-15,2,13,16
22,0,67,161,62,24,-225,87,-6,-130,-22,1,40,32
57,1,68,171,68,15,2056,88,57,298,57,1,41,35
44,0,53,156,48,32,-225,69,-6,-112,-21,1,10,29
54,0,78,168,52,24,-290,117,-8,-172,-34,3,27,33
27,1,101,184,74,16,2842,131,79,402,71,1,38,53
60,0,53,167,46,29,-258,74,-7,-123,-22,2,19,28
31,1,64,181,75,14,2918,96,81,451,97,3,27,25
60,1,72,179,65,17,2161,94,60,311,65,1,38,33
27,1,76,170,73,17,3385,122,94,513,99,4,33,36
55,0,64,171,53,23,-258,90,-7,-139,-33,2,26,29
26,1,59,157,85,5,2892,94,80,449,83,4,14,29
22,0,63,173,57,29,-225,82,-6,-125,-29,1,30,17
24,0,58,156,71,14,-225,75,-6,-118,-26,1,23,51
60,0,55,161,48,27,-225,72,-6,-115,-27,1,22,24
29,0,50,154,53,31,-290,75,-8,-130,-26,3,27,26
23,1,53,159,78,12,2828,85,79,444,97,4,34,23
57,1,65,170,62,21,3724,124,103,575,101,7,31,30
70,0,57,147,40,33,-354,97,-10,-163,-35,5,15,19
58,1,58,175,70,12,2222,81,62,335,67,2,34,38
28,0,70,161,63,21,-258,98,-7,-147,-32,2,33,38
28,1,66,164,81,8,2790,99,78,423,78,3,34,26
49,1,74,179,66,19,2590,104,72,382,72,2,38,29
28,1,64,183,69,20,1978,77,55,294,58,0,22,27
30,0,45,155,60,23,-290,68,-8,-122,-23,3,18,27
25,1,88,183,85,5,3808,141,106,572,116,4,36,41
57,0,60,161,50,26,-225,78,-6,-121,-30,1,20,35
27,1,68,178,83,6,2660,95,74,404,74,2,48,34
80,0,63,164,38,32,-419,120,-12,-198,-39,7,21,30
28,0,59,167,66,18,-225,77,-6,-120,-24,1,26,28
23,0,55,159,62,24,-225,72,-6,-115,-16,1,24,21
55,1,60,181,67,16,2630,90,73,403,83,3,48,31
32,0,55,160,61,22,-290,82,-8,-136,-33,3,21,43
26,1,51,159,75,15,2482,76,69,389,74,3,28,25
27,0,62,170,63,21,-322,99,-9,-159,-29,4,32,38
26,0,60,171,59,26,-225,78,-6,-121,-26,1,16,39
58,1,55,165,65,18,1815,72,50,269,49,1,25,28
45,0,67,168,60,18,-225,87,-6,-130,-21,1,27,40
49,0,53,154,56,21,-225,69,-6,-112,-15,1,20,26
59,1,66,176,63,20,2058,86,57,300,73,1,28,30
59,1,66,179,66,17,2382,92,66,355,67,2,38,47
61,1,74,177,69,13,2474,104,69,359,73,2,32,44
23,0,64,156,60,26,-193,77,-5,-114,-18,0,19,21
21,1,73,172,77,14,2387,95,66,353,65,1,49,30
27,1,75,177,78,12,3798,128,106,583,114,5,40,40
68,1,59,174,61,20,1879,77,52,276,56,1,30,34
58,1,83,198,62,21,2139,100,59,302,60,0,29,47
27,1,72,179,72,18,3076,108,85,470,89,3,33,22
24,0,74,175,58,27,-258,104,-7,-153,-37,2,21,46
18,1,72,170,76,16,2376,94,66,352,79,1,31,35
28,0,51,162,56,28,-419,97,-12,-175,-31,7,15,20
31,0,44,139,60,23,-225,57,-6,-100,-14,1,10,11
58,1,46,170,63,20,1732,60,48,265,50,1,20,25
24,1,64,178,80,10,2292,83,64,346,70,1,28,31
24,0,72,158,63,22,-322,115,-9,-175,-42,4,29,39
54,1,64,172,66,18,2320,90,64,346,73,2,31,28
56,0,65,160,56,19,-258,91,-7,-140,-20,2,21,41
25,1,61,169,73,17,2474,85,69,378,73,2,21,26
26,0,57,160,61,24,-193,68,-5,-105,-15,0,28,33
51,0,60,161,52,25,-290,90,-8,-144,-23,3,32,37
26,1,57,177,85,5,2172,74,60,334,66,1,16,25
32,1,59,161,83,5,2306,83,64,350,71,2,26,34
60,0,58,158,52,22,-290,87,-8,-142,-29,3,18,32
21,1,51,157,80,11,1670,61,46,253,50,0,17,32
23,1,63,168,80,10,2512,88,70,382,73,2,25,42
25,0,53,164,64,21,-225,69,-6,-112,-15,1,20,53
23,1,49,174,78,12,2054,64,57,321,63,1,25,36
67,1,68,170,55,27,2260,95,63,328,61,2,40,46
28,0,50,167,67,17,-258,70,-7,-119,-17,2,13,24
24,0,45,146,60,25,-386,81,-11,-153,-36,6,14,12
21,0,63,168,71,15,-258,88,-7,-137,-29,2,17,27
71,0,58,162,37,37,-258,81,-7,-130,-22,2,23,38
27,0,58,156,51,33,-290,87,-8,-142,-34,3,30,28
58,0,35,149,43,33,-290,52,-8,-106,-19,3,20,26
22,1,70,179,81,10,2399,91,67,358,73,1,30,29
19,1,90,186,77,14,2762,117,77,400,79,1,42,44
69,0,73,174,47,25,-290,110,-8,-164,-34,3,33,33
26,1,64,166,85,5,2484,90,69,376,79,2,35,34
24,1,85,185,85,5,3026,119,84,448,94,2,30,38
23,1,72,177,80,10,2746,101,76,414,77,2,24,37
58,1,49,180,65,18,2394,74,66,376,69,3,23,17
21,1,94,192,86,5,3264,132,91,479,94,2,50,45
74,0,62,158,45,26,-258,87,-7,-136,-25,2,25,44
24,0,78,171,65,20,-225,101,-6,-144,-21,1,36,37
26,0,61,165,68,17,-258,85,-7,-134,-34,2,26,19
62,1,71,179,69,12,1828,85,51,257,52,0,32,32
29,0,46,163,66,18,-193,55,-5,-92,-16,0,20,17
58,1,66,168,72,10,1710,79,48,240,47,0,32,27
55,0,44,164,50,26,-258,62,-7,-111,-20,2,18,16
66,0,59,164,46,27,-225,77,-6,-120,-13,1,23,43
67,0,70,163,47,26,-290,105,-8,-160,-33,3,25,37
61,0,47,148,50,24,-290,70,-8,-124,-18,3,14,31
27,1,68,163,80,10,2510,95,70,375,72,2,24,27
23,1,86,175,75,15,2950,120,82,433,84,2,34,45
18,0,68,171,67,20,-290,102,-8,-156,-38,3,25,37
27,0,59,167,68,16,-225,77,-6,-120,-30,1,24,29
61,0,62,158,48,26,-225,81,-6,-124,-18,1,28,30
63,0,73,173,53,20,-258,102,-7,-151,-29,2,35,52
67,0,39,158,49,23,-386,70,-11,-142,-28,6,12,31
32,0,64,172,52,31,-354,109,-10,-175,-27,5,20,33
27,0,68,169,60,24,-322,109,-9,-169,-29,4,30,36
25,1,85,181,74,16,4467,153,124,685,141,6,41,34
22,1,70,169,83,8,4293,133,119,672,136,7,28,28
61,1,81,176,63,19,2254,105,63,317,66,1,30,33
24,0,64,164,64,21,-225,83,-6,-126,-24,1,27,45
26,1,62,172,83,7,4082,118,113,648,133,7,24,39
25,1,64,171,71,19,2542,90,71,386,78,2,21,30
18,0,57,159,64,23,-322,91,-9,-151,-39,4,12,26
26,0,58,171,62,23,-258,81,-7,-130,-27,2,25,18
26,1,91,186,77,13,2337,109,65,329,70,0,33,53
27,0,48,145,60,24,-322,77,-9,-137,-44,4,18,32
23,1,95,191,80,10,3254,133,90,478,94,2,46,51
27,0,58,165,67,17,-322,93,-9,-153,-28,4,23,40
30,0,70,158,51,33,-225,91,-6,-134,-32,1,23,39
23,0,51,159,57,29,-258,71,-7,-120,-32,2,21,41
58,1,57,182,63,20,2276,80,63,347,65,2,13,30
20,1,77,172,80,11,2450,100,68,360,76,1,34,30
62,0,56,162,42,33,-225,73,-6,-116,-15,1,19,24
33,1,78,182,82,6,2460,101,68,361,65,1,28,37
30,0,81,169,67,16,-322,130,-9,-190,-35,4,33,40
51,1,76,171,70,14,2210,99,61,316,63,1,40,30
55,0,52,168,59,16,-258,73,-7,-122,-25,2,17,16
61,0,69,168,48,27,-258,97,-7,-146,-29,2,25,37
46,1,75,175,77,8,3561,128,99,540,100,5,27,41
31,1,78,180,80,9,2808,109,78,418,83,2,36,28
23,1,61,169,82,8,1868,73,52,277,51,0,22,33
30,0,44,162,66,17,-258,62,-7,-111,-22,2,11,32
54,0,62,163,50,27,-225,81,-6,-124,-24,1,25,37
25,0,55,181,63,22,-258,77,-7,-126,-30,2,24,41
25,0,59,163,71,14,-258,83,-7,-132,-26,2,31,28
52,1,65,180,64,20,2128,84,59,315,67,1,34,37
23,1,75,171,86,5,2392,98,66,352,67,1,24,39
55,0,46,166,48,28,-290,69,-8,-124,-25,3,21,15
27,0,58,159,62,22,-290,87,-8,-142,-30,3,22,34
52,0,48,157,51,26,-290,72,-8,-126,-32,3,20,29
24,1,61,163,67,23,3330,104,92,522,107,5,29,36
54,0,41,150,48,29,-225,53,-6,-96,-18,1,6,10
67,0,68,166,45,28,-225,88,-6,-131,-22,1,27,46
65,1,66,178,55,27,2614,99,73,390,80,3,32,29
31,1,57,178,76,13,2146,74,60,328,73,1,15,36
22,1,75,175,74,17,2434,98,68,358,68,1,30,27
47,0,54,157,54,24,-258,76,-7,-125,-27,2,23,34
27,0,75,159,62,22,-225,98,-6,-141,-24,1,35,43
26,1,64,179,78,12,2287,83,64,345,72,1,35,39
23,0,60,154,75,11,-225,78,-6,-121,-29,1,27,44
61,1,77,186,71,10,3592,131,100,542,115,5,29,34
24,0,55,154,62,23,-225,72,-6,-115,-20,1,24,23
27,0,61,166,61,23,-322,98,-9,-158,-27,4,25,32
22,0,74,173,60,26,-322,118,-9,-178,-32,4,24,35
71,0,61,169,46,25,-290,92,-8,-146,-28,3,27,34
20,0,47,161,64,23,-258,66,-7,-115,-19,2,23,25
28,1,88,178,78,11,3344,132,93,495,98,3,36,38
23,0,76,176,67,19,-290,114,-8,-168,-34,3,19,55
29,0,46,155,53,31,-290,69,-8,-124,-18,3,20,17
55,1,69,171,69,14,2978,110,83,448,92,4,47,26
51,0,49,155,50,27,-290,74,-8,-128,-16,3,18,42
21,0,67,171,58,28,-225,87,-6,-130,-23,1,28,55
28,0,51,170,58,26,-193,61,-5,-98,-18,0,12,33
19,0,55,158,68,19,-258,77,-7,-126,-23,2,17,45
19,0,61,152,76,11,-290,92,-8,-146,-38,3,21,38
59,1,68,185,66,17,2474,95,69,368,66,2,33,43
41,1,81,177,72,14,3776,138,105,570,126,5,36,42
22,0,54,155,66,20,-322,86,-9,-146,-32,4,30,30
26,0,55,165,75,10,-225,72,-6,-115,-33,1,18,40
23,0,50,170,68,18,-258,70,-7,-119,-20,2,21,16
33,0,47,159,54,29,-258,66,-7,-115,-19,2,16,35
26,1,61,169,77,13,2466,85,68,378,72,2,21,37
19,0,61,167,60,27,-419,116,-12,-194,-45,7,19,35
55,0,52,160,48,29,-290,78,-8,-132,-31,3,18,17
19,1,83,189,87,5,2690,108,75,396,89,1,25,45
28,1,73,187,70,19,2822,102,78,428,75,2,29,39
73,0,44,162,38,35,-290,66,-8,-120,-15,3,19,37
26,0,74,175,55,30,-354,126,-10,-192,-32,5,19,45
27,1,54,159,79,11,1965,70,55,298,55,1,15,30
24,1,63,183,80,10,2322,82,64,354,70,1,15,35
56,1,66,169,71,12,1730,79,48,246,45,0,34,32
71,0,48,154,45,27,-322,77,-9,-137,-27,4,17,35
24,1,50,174,80,10,2356,70,65,373,80,2,26,30
22,1,57,174,86,5,2794,86,78,437,82,3,23,32
18,1,80,173,80,12,2515,104,70,367,80,1,36,45
33,1,70,180,77,11,3663,119,102,567,116,5,32,40
59,1,69,171,67,15,1762,83,49,247,58,0,13,23
22,0,54,160,70,16,-225,70,-6,-113,-29,1,25,38
58,1,72,180,70,12,3120,115,87,469,92,4,36,35
23,0,66,173,68,18,-225,86,-6,-129,-22,1,29,33
48,1,46,165,73,12,1759,60,49,270,42,1,18,25
22,0,53,171,69,17,-258,74,-7,-123,-28,2,20,25
32,0,48,145,55,28,-193,58,-5,-95,-21,0,14,16
24,1,86,191,83,7,3102,120,86,462,91,2,43,53
23,0,58,174,74,12,-290,87,-8,-142,-33,3,24,27
52,1,67,169,70,14,2942,107,82,444,95,4,45,26
55,1,64,165,69,14,2242,90,62,331,65,2,29,32
19,1,72,172,78,13,2387,94,66,354,66,1,30,39
65,0,53,166,40,35,-225,69,-6,-112,-25,1,22,37
21,1,87,182,80,11,4960,165,138,764,145,7,39,39
22,0,46,167,72,14,-290,69,-8,-124,-24,3,25,31
21,0,47,149,75,11,-193,56,-5,-93,-26,0,21,25
28,0,56,171,58,26,-193,67,-5,-104,-16,0,18,22
23,0,57,165,67,19,-322,91,-9,-151,-35,4,24,34
34,1,71,176,78,10,2961,106,82,450,96,3,44,33
27,0,52,166,55,29,-354,88,-10,-154,-33,5,21,24
25,0,64,168,62,23,-225,83,-6,-126,-27,1,25,18
53,1,56,171,70,14,3285,101,91,516,95,6,35,24
59,0,44,162,56,18,-258,62,-7,-111,-25,2,19,35
62,1,61,175,62,20,1678,73,47,241,51,0,23,21
23,0,73,168,61,25,-290,110,-8,-164,-26,3,30,28
27,1,45,170,68,22,1935,58,54,304,48,1,23,18
42,0,56,165,50,30,-225,73,-6,-116,-18,1,28,34
63,1,52,173,73,8,1550,62,43,229,49,0,30,26
64,1,70,176,72,9,2079,91,58,298,65,1,17,30
46,1,47,179,75,10,2182,66,61,342,70,2,20,28
24,0,66,166,71,14,-225,86,-6,-129,-22,1,29,24
29,0,57,165,51,33,-386,103,-11,-175,-42,6,15,38
25,0,54,160,69,16,-290,81,-8,-136,-26,3,10,34
19,0,57,161,78,9,-225,74,-6,-117,-20,1,22,36
55,0,62,173,47,30,-258,87,-7,-136,-32,2,23,27
58,1,55,173,61,22,1616,66,45,237,45,0,30,31
28,0,55,150,64,20,-258,77,-7,-126,-17,2,25,31
25,0,58,154,59,26,-290,87,-8,-142,-25,3,16,34
59,0,58,169,43,33,-322,93,-9,-153,-31,4,15,27
26,1,65,175,71,19,2914,98,81,448,84,3,35,35
31,1,85,178,78,11,2538,110,70,367,73,1,41,44
47,1,65,169,73,12,2362,91,66,351,76,2,39,27
60,1,77,177,68,14,2214,100,62,314,67,1,31,48
25,0,47,149,57,28,-193,56,-5,-93,-16,0,15,21
58,0,59,165,52,23,-225,77,-6,-120,-30,1,22,22
54,1,79,182,78,5,2328,103,65,333,60,1,28,39
59,1,47,175,69,13,2548,75,71,402,71,4,22,26
27,1,66,176,76,14,1956,79,54,288,58,0,25,23
49,0,64,170,54,24,-225,83,-6,-126,-22,1,28,33
55,0,64,171,51,25,-225,83,-6,-126,-34,1,29,34
52,0,49,154,45,33,-419,93,-12,-171,-29,7,11,30
25,1,66,170,75,15,2244,86,62,336,65,1,28,31
21,1,66,163,76,15,2210,86,61,329,61,1,33,42
29,0,59,155,70,14,-258,83,-7,-132,-20,2,19,30
48,1,76,177,75,9,2284,99,63,330,61,1,32,32
69,1,53,162,61,20,1684,69,47,246,50,1,10,29
26,0,72,163,65,20,-193,86,-5,-123,-31,0,24,29
23,1,68,182,79,11,2049,82,57,302,52,0,37,39
43,0,68,165,56,23,-290,102,-8,-156,-33,3,26,25
56,0,64,151,56,19,-225,83,-6,-126,-24,1,24,37
54,0,70,186,44,34,-258,98,-7,-147,-29,2,26,42
30,0,60,161,57,27,-419,114,-12,-192,-33,7,10,20
30,0,63,171,56,28,-419,120,-12,-198,-48,7,24,29
25,1,78,186,82,8,2916,109,81,438,94,2,33,41
21,0,45,158,62,24,-290,68,-8,-122,-25,3,14,28
22,1,58,168,81,10,3660,104,102,582,128,6,42,23
64,0,60,162,50,23,-290,90,-8,-144,-31,3,26,35
59,1,66,176,71,11,3234,112,90,494,101,5,29,35
26,0,61,170,66,19,-258,85,-7,-134,-29,2,25,34
64,0,56,162,43,31,-193,67,-5,-104,-18,0,34,24
26,0,53,154,59,26,-225,69,-6,-112,-20,1,30,34
24,1,85,183,82,8,3382,128,94,506,102,3,34,50
22,1,67,186,85,6,2418,87,67,367,77,1,30,27
25,1,47,160,71,19,2160,66,60,339,70,2,23,20
29,1,78,178,74,15,2454,101,68,360,70,1,36,41
61,1,66,170,65,17,2845,106,79,428,82,4,29,23
58,1,72,181,68,15,1880,86,52,267,46,0,27,33
65,0,54,159,43,31,-258,76,-7,-125,-26,2,18,36
32,0,58,167,59,24,-225,75,-6,-118,-22,1,30,33
24,1,48,172,84,6,2592,72,72,414,87,3,19,26
28,1,84,185,84,5,3350,126,93,502,102,3,36,44
21,0,53,157,62,24,-225,69,-6,-112,-29,1,29,15
32,0,44,151,61,22,-322,70,-9,-130,-22,4,15,17
48,0,61,169,55,23,-258,85,-7,-134,-25,2,27,30
26,1,68,177,78,12,2326,88,65,347,70,1,35,39
22,0,64,157,67,19,-193,77,-5,-114,-26,0,25,25
63,1,62,175,65,17,1684,74,47,241,52,0,32,40
45,0,55,157,61,17,-258,77,-7,-126,-28,2,26,32
58,1,75,182,68,14,2244,98,62,324,61,1,38,33
70,1,67,181,74,5,2330,94,65,342,70,2,18,30
22,1,84,177,86,5,3314,126,92,496,91,3,33,38
22,1,84,181,79,12,4479,151,124,690,136,6,39,37
28,0,58,167,65,19,-290,87,-8,-142,-25,3,33,34
26,0,33,149,61,24,-290,50,-8,-104,-13,3,12,16
22,1,81,172,84,7,2492,105,69,363,77,1,29,43
59,0,48,152,43,33,-290,72,-8,-126,-27,3,23,33
50,1,68,175,70,14,2752,102,76,415,71,3,26,40
38,0,60,159,57,24,-386,108,-11,-180,-34,6,29,40
56,0,46,156,52,24,-258,64,-7,-113,-26,2,19,38
25,1,82,184,75,15,2590,107,72,378,79,1,35,27
26,1,70,184,80,10,2760,98,77,419,80,2,34,38
56,1,64,167,72,11,2536,96,70,380,75,3,24,39
66,1,78,190,63,18,3285,125,91,492,96,4,41,38
56,1,48,176,61,23,2088,67,58,324,64,2,24,27
51,0,54,164,46,32,-258,76,-7,-125,-23,2,20,21
61,0,55,159,47,28,-322,88,-9,-148,-31,4,21,36
29,0,52,166,56,28,-354,88,-10,-154,-28,5,24,34
28,1,52,166,74,15,1991,68,55,306,60,1,17,34
31,1,48,175,77,12,3702,91,103,603,133,7,29,23
51,0,67,161,54,23,-322,107,-9,-167,-36,4,19,34
73,1,65,170,64,15,2164,91,60,315,68,2,26,28
71,0,61,156,38,35,-258,85,-7,-134,-28,2,27,38
44,0,56,160,53,26,-225,73,-6,-116,-25,1,31,34
21,0,65,176,55,31,-225,84,-6,-127,-27,1,25,21
25,1,57,175,76,14,2470,80,69,382,91,2,26,28
19,1,45,171,80,11,2572,68,71,415,90,3,23,18
29,0,57,161,65,19,-258,80,-7,-129,-28,2,32,35
31,1,66,169,68,21,2819,99,78,430,80,3,31,35
20,0,78,162,57,29,-193,94,-5,-131,-28,0,28,39
31,1,44,167,74,15,1867,57,52,293,61,1,18,17
27,0,54,162,61,23,-193,65,-5,-102,-24,0,28,22
32,0,59,169,50,33,-290,88,-8,-142,-30,3,29,40
23,1,64,177,74,16,1964,77,55,290,63,0,29,27
27,1,71,177,79,11,2361,92,66,350,69,1,31,30
59,1,61,164,70,12,1614,73,45,229,42,0,20,29
26,0,84,167,52,33,-290,126,-8,-180,-30,3,31,44
71,1,52,167,64,16,3156,99,88,492,91,7,25,28
26,0,78,170,71,14,-419,148,-12,-226,-51,7,25,46
70,0,71,167,44,28,-225,92,-6,-135,-20,1,26,30
23,1,72,184,79,11,3520,115,98,544,111,4,44,40
26,1,59,167,83,7,2112,77,59,318,60,1,32,30
22,1,63,171,86,5,4144,120,115,657,122,7,20,31
20,1,58,184,74,17,2289,75,64,353,72,1,27,14
51,1,71,173,67,17,2774,106,77,414,85,3,30,23
60,0,52,162,45,30,-258,73,-7,-122,-29,2,23,33
50,0,42,160,58,19,-322,67,-9,-127,-25,4,14,18
25,0,80,171,63,22,-225,104,-6,-147,-44,1,35,46
22,0,54,159,72,14,-290,81,-8,-136,-35,3,21,20
64,0,59,166,47,27,-258,83,-7,-132,-26,2,21,33
26,0,46,161,61,24,-225,60,-6,-103,-18,1,20,24
58,0,70,171,51,24,-258,98,-7,-147,-24,2,30,45
25,0,55,164,65,20,-419,104,-12,-182,-36,7,13,36
25,0,63,174,58,27,-225,82,-6,-125,-27,1,22,40
28,0,64,168,70,14,-193,77,-5,-114,-14,0,24,29
26,0,67,172,70,15,-386,121,-11,-193,-41,6,20,38
48,1,68,182,70,15,2216,88,62,326,75,1,36,33
20,0,63,161,67,20,-258,88,-7,-137,-24,2,17,40
69,0,47,162,44,28,-419,89,-12,-167,-29,7,21,18
31,0,52,165,62,21,-258,73,-7,-122,-22,2,21,39
26,0,81,172,70,15,-225,105,-6,-148,-27,1,31,29
50,0,73,174,47,31,-225,95,-6,-138,-22,1,28,44
18,1,63,174,80,12,2938,94,82,456,84,3,17,29
